Conjunto de resultados 1:
Nationality	MonthYear	FlightCount
"Bonaire Saint Eustatius and Saba "	03-2022	3
Afghanistan	06-2022	39
Aland Islands	03-2022	4
Albania	03-2022	45
Algeria	01-2022	2
American Samoa	06-2022	6
Andorra	11-2022	3
Angola	06-2022	11
Anguilla	06-2022	1
Anguilla	07-2022	1
Anguilla	09-2022	1
Anguilla	10-2022	1
Antigua and Barbuda	11-2022	4
Argentina	07-2022	128
Armenia	10-2022	44
Aruba	11-2022	2
Australia	06-2022	10
Australia	08-2022	10
Australia	11-2022	10
Austria	12-2022	7
Azerbaijan	08-2022	26
Azerbaijan	11-2022	26
Bahamas	01-2022	7
Bahrain	09-2022	5
Bangladesh	02-2022	26
Barbados	01-2022	2
Barbados	05-2022	2
Barbados	09-2022	2
Belarus	12-2022	37
Belgium	12-2022	4
Belize	01-2022	4
Benin	08-2022	10
Bermuda	01-2022	3
Bhutan	02-2022	5
Bhutan	03-2022	5
Bhutan	04-2022	5
Bolivia	01-2022	25
Bosnia and Herzegovina	06-2022	29
Botswana	10-2022	16
Brazil	05-2022	366
British Virgin Islands	10-2022	2
Brunei	03-2022	2
Bulgaria	04-2022	37
Bulgaria	10-2022	37
Burkina Faso	04-2022	11
Burundi	02-2022	5
Burundi	04-2022	5
Cambodia	05-2022	12
Cambodia	06-2022	12
Cameroon	02-2022	22
Canada	04-2022	112
Cape Verde	10-2022	6
Cayman Islands	05-2022	3
Central African Republic	06-2022	10
Central African Republic	12-2022	10
Chad	02-2022	10
Chad	08-2022	10
Chad	11-2022	10
Chile	08-2022	30
China	08-2022	1614
Christmas Island	04-2022	1
Christmas Island	07-2022	1
Christmas Island	12-2022	1
Cocos Islands	10-2022	2
Colombia	06-2022	125
Comoros	05-2022	11
Comoros	10-2022	11
Cook Islands	08-2022	1
Cook Islands	11-2022	1
Costa Rica	05-2022	22
Croatia	01-2022	47
Cuba	07-2022	37
Curacao	04-2022	2
Cyprus	03-2022	14
Czech Republic	08-2022	161
Democratic Republic of the Congo	04-2022	25
Denmark	10-2022	18
Djibouti	07-2022	5
Dominica	04-2022	3
Dominica	05-2022	3
Dominica	06-2022	3
Dominica	09-2022	3
Dominica	10-2022	3
Dominica	12-2022	3
Dominican Republic	05-2022	30
East Timor	04-2022	8
Ecuador	12-2022	26
Egypt	06-2022	28
El Salvador	03-2022	16
Equatorial Guinea	01-2022	5
Eritrea	07-2022	4
Estonia	05-2022	13
Ethiopia	01-2022	26
Ethiopia	06-2022	26
Falkland Islands	03-2022	1
Falkland Islands	05-2022	1
Falkland Islands	12-2022	1
Faroe Islands	11-2022	3
Fiji	01-2022	1
Fiji	03-2022	1
Fiji	04-2022	1
Fiji	05-2022	1
Fiji	06-2022	1
Fiji	08-2022	1
Fiji	10-2022	1
Fiji	11-2022	1
Finland	06-2022	60
France	08-2022	273
French Guiana	03-2022	2
French Polynesia	12-2022	8
French Southern Territories	03-2022	1
French Southern Territories	08-2022	1
Gabon	08-2022	6
Gambia	03-2022	10
Gambia	09-2022	10
Georgia	04-2022	14
Germany	10-2022	35
Ghana	07-2022	12
Greece	08-2022	121
Greenland	11-2022	3
Grenada	02-2022	3
Guadeloupe	05-2022	3
Guadeloupe	08-2022	3
Guam	02-2022	5
Guatemala	05-2022	43
Guinea	06-2022	8
Guinea-Bissau	11-2022	4
Guyana	03-2022	3
Guyana	10-2022	3
Guyana	11-2022	3
Guyana	12-2022	3
Haiti	09-2022	17
Honduras	03-2022	61
Hong Kong	03-2022	3
Hong Kong	07-2022	3
Hungary	11-2022	15
Iceland	09-2022	7
India	12-2022	2
Indonesia	03-2022	930
Iran	07-2022	55
Iraq	03-2022	9
Iraq	07-2022	9
Iraq	08-2022	9
Iraq	09-2022	9
Iraq	11-2022	9
Ireland	08-2022	42
Isle of Man	03-2022	1
Isle of Man	11-2022	1
Isle of Man	12-2022	1
Israel	11-2022	21
Italy	07-2022	15
Ivory Coast	01-2022	18
Jamaica	11-2022	14
Japan	10-2022	165
Jersey	12-2022	1
Jordan	11-2022	18
Kazakhstan	10-2022	40
Kenya	09-2022	22
